"Country, Other","Total cases","New cases","Total deaths","New deaths","Total recovered","New recovered","Active cases","Serious, Critical","Tot Cases/1M pop","Deaths/1M pop","Total tests","Test/1M pop","Population","Continent"
"World","263,056,933","+611,415","5,233,496","+8,126","237,555,710","+495,440","20,267,727","84,700","33,748","671.4","","","","All"
"Asia","82,124,324","+88,443","1,213,907","+1,267","79,414,310","+92,734","1,496,107","29,099","","","","","","Asia"
"Europe","73,690,155","+363,985","1,415,368","+4,440","64,883,964","+255,979","7,390,823","21,533","","","","","","Europe"
"North America","59,149,800","+127,179","1,194,269","+1,784","47,725,793","+115,203","10,229,738","19,375","","","","","","North America"
"USA","49,452,543","+121,045","803,473","+1,651","39,236,734","+105,895","9,412,336","13,201","148,170","2,407","754,081,369","2,259,387","333,754,810","North America"
"South America","38,987,870","+19,276","1,182,059","+478","37,072,021","+25,210","733,790","12,690","","","","","","South America"
"India","34,596,776","+8,954","469,247","+267","34,018,299","+10,116","109,230","8,944","24,725","335","641,303,848","458,324","1,399,235,464","Asia"
"Brazil","22,094,459","+9,710","614,754","+326","21,321,631","+17,516","158,074","8,318","102,908","2,863","63,776,166","297,046","214,701,617","South America"
"UK","10,227,048","+39,043","144,969","+159","9,062,561","+36,788","1,019,518","916","149,536","2,120","362,531,048","5,300,807","68,391,673","Europe"
"Russia","9,636,881","+32,648","275,193","+1,229","8,329,253","+33,442","1,032,435","2,300","65,996","1,885","224,900,000","1,540,166","146,023,223","Europe"
"Turkey","8,795,588","+25,216","76,842","+207","8,326,381","+24,498","392,365","1,405","102,722","897","107,680,920","1,257,583","85,625,303","Asia"
"Africa","8,735,588","+10,497","223,666","+146","8,129,892","+6,131","382,030","1,842","","","","","","Africa"
"France","7,675,504","+47,177","119,131","+115","7,125,024","+11,761","431,349","1,824","117,222","1,819","162,981,031","2,489,082","65,478,363","Europe"
"Iran","6,117,445","+4,253","129,830","+119","5,883,470","+10,029","104,145","3,334","71,535","1,518","38,439,240","449,496","85,516,321","Asia"
"Germany","5,881,423","+55,880","102,137","+485","4,893,300","+40,500","885,986","4,459","69,881","1,214","83,816,414","995,872","84,163,880","Europe"
"Argentina","5,330,748","+2,332","116,589","+35","5,193,691","+1,287","20,468","617","116,433","2,547","26,222,843","572,756","45,783,654","South America"
"Spain","5,164,184","+10,261","88,052","+44","4,923,140","+2,261","152,992","713","110,392","1,882","66,213,858","1,415,417","46,780,466","Europe"
"Colombia","5,069,644","+2,296","128,528","+55","4,909,572","+2,088","31,544","342","98,151","2,488","28,112,712","544,276","51,651,557","South America"
"Italy","5,028,535","+12,752","133,838","+92","4,700,449","+8,041","194,248","683","83,343","2,218","119,331,735","1,977,796","60,335,704","Europe"
"Indonesia","4,256,409","+297","143,830","+11","4,104,657","+324","7,922","","15,332","518","54,475,477","196,221","277,622,982","Asia"
"Mexico","3,884,566","+724","293,950","+53","3,242,947","+2,426","347,669","4,798","29,687","2,246","11,838,624","90,473","130,852,697","North America"
"Poland","3,540,073","+19,086","83,583","+526","3,038,451","+15,680","418,039","1,825","93,683","2,212","24,433,048","646,585","37,787,809","Europe"
"Ukraine","3,438,381","+10,554","85,975","+561","2,946,032","+25,318","406,374","177","79,297","1,983","15,869,089","365,977","43,360,950","Europe"
"South Africa","2,968,052","+4,373","89,843","+21","2,849,558","+119","28,651","546","49,166","1,488","19,477,054","322,637","60,368,296","Africa"
"Philippines","2,832,538","+229","48,545","+44","2,768,048","+568","15,945","1,023","25,370","435","24,238,501","217,098","111,647,653","Asia"
"Netherlands","2,643,176","+22,154","19,414","+65","2,112,703","+8,140","511,059","604","153,775","1,129","19,205,114","1,117,314","17,188,644","Europe"
"Malaysia","2,632,782","+4,879","30,425","+55","2,537,204","+5,168","65,153","509","79,894","923","37,735,175","1,145,100","32,953,607","Asia"
"Peru","2,236,351","+1,381","201,176","+32","N/A","N/A","N/A","971","66,513","5,983","20,314,089","604,180","33,622,605","South America"
"Czechia","2,150,176","+17,610","33,143","+102","1,866,042","+607","250,991","1,022","200,256","3,087","43,666,605","4,066,868","10,737,159","Europe"
"Thailand","2,115,872","+4,306","20,769","+37","2,019,428","+6,407","75,675","1,369","30,206","296","14,913,135","212,898","70,048,383","Asia"
"Iraq","2,081,172","+724","23,820","+13","2,045,021","+1,355","12,331","103","50,149","574","16,341,046","393,760","41,500,033","Asia"
"Canada","1,792,500","+2,358","29,687","+17","1,737,256","+2,700","25,557","497","46,910","777","48,807,147","1,277,298","38,211,249","North America"
"Romania","1,779,667","+1,622","56,547","+130","1,686,752","+3,548","36,368","1,146","93,393","2,967","16,019,397","840,666","19,055,592","Europe"
"Chile","1,762,751","+1,386","38,346","+3","1,656,705","+2,141","67,700","696","91,104","1,982","25,592,070","1,322,669","19,348,816","South America"
"Belgium","1,749,469","+14,907","26,966","+44","1,333,810","+8,055","388,693","722","150,025","2,312","24,619,234","2,111,219","11,661,149","Europe"
"Japan","1,727,221","+78","18,359","+1","1,708,006","+104","856","41","13,716","146","27,874,331","221,353","125,927,160","Asia"
"Bangladesh","1,576,284","+273","27,981","+1","1,540,965","+368","7,338","1,382","9,438","168","10,888,751","65,196","167,015,002","Asia"
