"Country, Other","Total cases","New cases","Total deaths","New deaths","Total recovered","New recovered","Active cases","Serious, Critical","Tot Cases/1M pop","Deaths/1M pop","Total tests","Test/1M pop","Population","Continent"
"World","265,160,308","+705,204","5,258,078","+7,928","238,974,362","+452,414","20,927,868","86,587","34,018","674.6","","","","All"
"Asia","82,386,227","+84,194","1,218,235","+1,452","79,655,456","+72,302","1,512,536","29,832","","","","","","Asia"
"Europe","74,957,089","+420,727","1,428,266","+4,242","65,727,109","+275,579","7,801,714","22,289","","","","","","Europe"
"North America","59,603,308","+156,853","1,199,939","+1,711","47,981,417","+83,473","10,421,952","19,747","","","","","","North America"
"USA","49,878,049","+147,434","808,116","+1,353","39,463,245","+73,599","9,606,688","13,714","149,440","2,421","759,601,375","2,275,854","333,765,397","North America"
"South America","39,053,513","+21,028","1,183,281","+393","37,128,758","+13,163","741,474","12,732","","","","","","South America"
"India","34,624,360","+8,603","470,530","+415","34,045,666","+8,612","108,164","8,944","24,744","336","644,668,082","460,704","1,399,309,544","Asia"
"Brazil","22,129,409","+10,627","615,454","+229","21,357,412","+5,907","156,543","8,318","103,067","2,866","63,776,166","297,034","214,709,861","South America"
"UK","10,378,256","+50,120","145,424","+143","9,156,066","+29,938","1,076,766","895","151,743","2,126","366,108,215","5,352,959","68,393,618","Europe"
"Russia","9,736,037","+32,930","278,857","+1,217","8,436,631","+36,514","1,020,549","2,300","66,674","1,910","226,800,000","1,553,174","146,023,563","Europe"
"Turkey","8,861,386","+21,495","77,417","+187","8,392,971","+20,193","390,998","1,405","103,484","904","108,745,783","1,269,946","85,630,260","Asia"
"Africa","8,785,604","+20,710","224,097","+117","8,147,216","+6,524","414,291","1,827","","","","","","Africa"
"France","7,823,388","+49,858","119,457","+127","7,155,819","+14,543","548,112","2,058","119,479","1,824","162,981,031","2,489,052","65,479,150","Europe"
"Iran","6,129,199","+3,603","130,066","+78","5,908,901","+7,369","90,232","3,296","71,668","1,521","39,093,355","457,114","85,522,195","Asia"
"Germany","6,097,477","+70,681","103,308","+399","5,023,300","+43,600","970,869","4,636","72,446","1,227","85,782,441","1,019,213","84,165,340","Europe"
"Argentina","5,337,692","+2,382","116,639","+22","5,198,099","+2,003","22,954","657","116,579","2,547","26,355,038","575,614","45,785,918","South America"
"Spain","5,202,958","+13,738","88,159","+37","4,927,391","+1,413","187,408","814","111,221","1,885","66,213,858","1,415,414","46,780,564","Europe"
"Italy","5,077,440","+17,025","134,077","+74","4,727,214","+9,658","216,149","708","84,154","2,222","121,173,417","2,008,336","60,335,220","Europe"
"Colombia","5,076,378","+2,299","128,685","+42","4,916,313","+2,392","31,380","342","98,276","2,491","28,258,816","547,073","51,654,519","South America"
"Indonesia","4,257,243","+245","143,858","+8","4,105,680","+328","7,705","","15,334","518","55,342,143","199,331","277,638,777","Asia"
"Mexico","3,894,364","+3,146","294,715","+287","3,250,478","+2,466","349,171","4,798","29,760","2,252","11,904,011","90,967","130,860,095","North America"
"Poland","3,623,451","+26,964","85,128","+472","3,091,259","+25,041","447,064","1,968","95,890","2,253","24,764,134","655,351","37,787,584","Europe"
"Ukraine","3,477,649","+13,777","87,566","+509","3,018,620","+22,893","371,463","177","80,205","2,020","16,009,215","369,220","43,359,522","Europe"
"South Africa","3,004,203","+16,055","89,944","+29","2,852,898","+1,993","61,361","546","49,761","1,490","19,646,423","325,421","60,372,382","Africa"
"Philippines","2,833,777","+443","48,987","+235","2,769,587","+407","15,203","1,023","25,380","439","24,313,150","217,751","111,655,624","Asia"
"Netherlands","2,706,263","+21,529","19,586","+62","2,137,058","+9,044","549,619","609","157,443","1,139","19,205,114","1,117,301","17,188,851","Europe"
"Malaysia","2,649,578","+5,551","30,538","+17","2,556,554","+5,301","62,486","499","80,398","927","38,161,832","1,157,968","32,955,873","Asia"
"Peru","2,241,027","+1,606","201,326","+44","N/A","N/A","N/A","967","66,647","5,987","20,463,224","608,570","33,625,115","South America"
