"Country, Other","Total cases","New cases","Total deaths","New deaths","Total recovered","New recovered","Active cases","Serious, Critical","Tot Cases/1M pop","Deaths/1M pop","Total tests","Test/1M pop","Population","Continent"
"World","265,159,969","+704,991","5,260,517","+7,934","238,992,967","+452,429","20,906,485","86,587","34,018","674.9","","","","All"
"Asia","82,386,300","+84,213","1,220,663","+1,455","79,655,539","+72,306","1,510,098","29,832","","","","","","Asia"
"Europe","74,956,650","+420,494","1,428,277","+4,245","65,745,631","+275,590","7,782,742","22,289","","","","","","Europe"
"North America","59,603,335","+156,854","1,199,939","+1,711","47,981,417","+83,473","10,421,979","19,747","","","","","","North America"
"USA","49,878,049","+147,434","808,116","+1,353","39,463,245","+73,599","9,606,688","13,714","149,438","2,421","759,601,375","2,275,818","333,770,690","North America"
"South America","39,053,513","+21,028","1,183,281","+393","37,128,758","+13,163","741,474","12,732","","","","","","South America"
"India","34,624,360","+8,603","472,954","+417","34,045,666","+8,612","105,740","8,944","24,743","338","644,668,082","460,692","1,399,346,585","Asia"
"Brazil","22,129,409","+10,627","615,454","+229","21,357,412","+5,907","156,543","8,318","103,065","2,866","63,776,166","297,028","214,713,983","South America"
"UK","10,377,785","+49,884","145,424","+143","9,156,066","+29,938","1,076,295","895","151,734","2,126","366,108,215","5,352,883","68,394,590","Europe"
"Russia","9,736,037","+32,930","278,857","+1,217","8,436,631","+36,514","1,020,549","2,300","66,674","1,910","226,800,000","1,553,172","146,023,734","Europe"
"Turkey","8,861,386","+21,495","77,417","+187","8,392,971","+20,193","390,998","1,405","103,481","904","108,745,783","1,269,909","85,632,738","Asia"
"Africa","8,785,604","+20,710","224,097","+117","8,147,216","+6,524","414,291","1,827","","","","","","Africa"
"France","7,823,388","+49,858","119,457","+127","7,155,819","+14,543","548,112","2,058","119,478","1,824","162,981,031","2,489,037","65,479,543","Europe"
"Iran","6,129,199","+3,603","130,066","+78","5,908,901","+7,369","90,232","3,296","71,665","1,521","39,093,355","457,098","85,525,133","Asia"
"Germany","6,097,477","+70,681","103,308","+399","5,023,300","+43,600","970,869","4,636","72,446","1,227","85,782,441","1,019,205","84,166,070","Europe"
"Argentina","5,337,692","+2,382","116,639","+22","5,198,099","+2,003","22,954","657","116,576","2,547","26,355,038","575,600","45,787,050","South America"
"Spain","5,202,958","+13,738","88,159","+37","4,927,391","+1,413","187,408","814","111,220","1,885","66,213,858","1,415,412","46,780,614","Europe"
"Italy","5,077,440","+17,025","134,077","+74","4,727,214","+9,658","216,149","708","84,154","2,222","121,173,417","2,008,344","60,334,978","Europe"
"Colombia","5,076,378","+2,299","128,685","+42","4,916,313","+2,392","31,380","342","98,273","2,491","28,258,816","547,058","51,656,000","South America"
"Indonesia","4,257,243","+245","143,858","+8","4,105,680","+328","7,705","","15,333","518","55,342,143","199,326","277,646,675","Asia"
"Mexico","3,894,364","+3,146","294,715","+287","3,250,478","+2,466","349,171","4,798","29,759","2,252","11,904,011","90,965","130,863,794","North America"
"Poland","3,623,451","+26,964","85,128","+472","3,091,259","+25,041","447,064","1,968","95,890","2,253","24,764,134","655,353","37,787,471","Europe"
"Ukraine","3,477,649","+13,777","87,566","+509","3,018,620","+22,893","371,463","177","80,206","2,020","16,009,215","369,226","43,358,808","Europe"
"South Africa","3,004,203","+16,055","89,944","+29","2,852,898","+1,993","61,361","546","49,760","1,490","19,646,423","325,410","60,374,425","Africa"
"Philippines","2,833,777","+443","48,987","+235","2,769,587","+407","15,203","1,023","25,379","439","24,313,150","217,743","111,659,609","Asia"
"Netherlands","2,706,263","+21,529","19,586","+62","2,137,058","+9,044","549,619","609","157,442","1,139","19,205,114","1,117,294","17,188,954","Europe"
"Malaysia","2,649,578","+5,551","30,538","+17","2,556,554","+5,301","62,486","499","80,395","927","38,161,832","1,157,928","32,957,005","Asia"
"Peru","2,241,027","+1,606","201,326","+44","N/A","N/A","N/A","967","66,645","5,987","20,463,224","608,547","33,626,370","South America"
"Czechia","2,212,088","+18,599","33,529","+112","1,913,443","+511","265,116","1,056","206,019","3,123","44,071,446","4,104,510","10,737,322","Europe"
"Thailand","2,130,641","+4,912","20,878","+33","2,037,000","+5,844","72,763","1,369","30,416","298","14,913,135","212,893","70,049,814","Asia"
"Iraq","2,083,515","+741","23,867","+8","2,048,378","+1,112","11,270","100","50,196","575","16,405,036","395,231","41,507,449","Asia"
"Belgium","1,809,557","+23,113","27,120","+48","1,351,555","+5,627","430,882","793","155,173","2,326","24,998,146","2,143,636","11,661,562","Europe"
"Canada","1,802,359","+3,487","29,757","+20","1,745,281","+2,757","27,321","497","47,165","779","49,099,908","1,284,868","38,213,959","North America"
"Romania","1,783,630","+1,673","56,915","+183","1,695,283","+3,927","31,432","1,031","93,607","2,987","16,108,574","845,393","19,054,546","Europe"
"Chile","1,768,584","+2,091","38,439","+36","1,661,024","+1,253","69,121","692","91,399","1,986","25,803,364","1,333,496","19,350,159","South America"
"Japan","1,727,560","+130","18,363","+1","1,708,345","+126","852","32","13,719","146","28,040,512","222,678","125,924,001","Asia"
"Bangladesh","1,577,070","+243","27,989","+3","1,541,886","+225","7,195","1,382","9,442","168","10,946,046","65,534","167,028,441","Asia"
"Israel","1,345,083","+415","8,203","+1","1,331,497","+434","5,383","112","144,229","880","31,188,024","3,344,202","9,326,000","Asia"
"Pakistan","1,286,022","+391","28,753","+8","1,245,155","+2,437","12,114","895","5,665","127","22,118,750","97,439","227,000,663","Asia"
