"Country, Other","Total cases","New cases","Total deaths","New deaths","Total recovered","New recovered","Active cases","Serious, Critical","Tot Cases/1M pop","Deaths/1M pop","Total tests","Test/1M pop","Population","Continent"
"World","263,055,352","+610,162","5,233,365","+8,115","237,565,265","+511,612","20,256,722","84,702","33,748","671.4","","","","All"
"Asia","82,124,324","+88,443","1,213,907","+1,267","79,414,310","+92,734","1,496,107","29,099","","","","","","Asia"
"Europe","73,689,839","+363,482","1,415,339","+4,430","64,895,038","+272,617","7,379,462","21,533","","","","","","Europe"
"North America","59,149,839","+127,133","1,194,167","+1,783","47,725,793","+115,203","10,229,879","19,375","","","","","","North America"
"USA","49,452,681","+120,999","803,371","+1,650","39,236,734","+105,895","9,412,576","13,201","148,173","2,407","754,081,369","2,259,423","333,749,517","North America"
"South America","38,987,870","+19,276","1,182,059","+478","37,072,021","+25,210","733,790","12,690","","","","","","South America"
"India","34,596,776","+8,954","469,247","+267","34,018,299","+10,116","109,230","8,944","24,726","335","641,303,848","458,337","1,399,198,423","Asia"
"Brazil","22,094,459","+9,710","614,754","+326","21,321,631","+17,516","158,074","8,318","102,910","2,863","63,776,166","297,051","214,697,495","South America"
"UK","10,227,633","+39,336","144,969","+159","9,062,561","+36,788","1,020,103","916","149,547","2,120","362,531,048","5,300,882","68,390,701","Europe"
"Russia","9,636,881","+32,648","275,193","+1,229","8,329,253","+33,442","1,032,435","2,300","65,996","1,885","224,900,000","1,540,168","146,023,052","Europe"
"Turkey","8,795,588","+25,216","76,842","+207","8,326,381","+24,498","392,365","1,405","102,725","897","107,680,920","1,257,619","85,622,825","Asia"
"Africa","8,734,989","+10,476","223,666","+146","8,128,373","+5,665","382,950","1,844","","","","","","Africa"
"France","7,675,504","+47,177","119,131","+115","7,125,024","+11,761","431,349","1,824","117,223","1,819","162,981,031","2,489,097","65,477,969","Europe"
"Iran","6,117,445","+4,253","129,830","+119","5,883,470","+10,029","104,145","3,334","71,538","1,518","38,439,240","449,511","85,513,384","Asia"
"Germany","5,881,423","+55,880","102,137","+485","4,893,300","+40,500","885,986","4,459","69,881","1,214","83,816,414","995,880","84,163,150","Europe"
"Argentina","5,330,748","+2,332","116,589","+35","5,193,691","+1,287","20,468","617","116,436","2,547","26,222,843","572,770","45,782,522","South America"
"Spain","5,164,184","+10,261","88,052","+44","4,923,140","+2,261","152,992","713","110,392","1,882","66,213,858","1,415,418","46,780,416","Europe"
"Colombia","5,069,644","+2,296","128,528","+55","4,909,572","+2,088","31,544","342","98,154","2,488","28,112,712","544,292","51,650,076","South America"
"Italy","5,028,535","+12,752","133,838","+92","4,700,449","+8,041","194,248","683","83,342","2,218","119,331,735","1,977,788","60,335,946","Europe"
"Indonesia","4,256,409","+297","143,830","+11","4,104,657","+324","7,922","","15,332","518","54,475,477","196,227","277,615,084","Asia"
"Mexico","3,884,566","+724","293,950","+53","3,242,947","+2,426","347,669","4,798","29,687","2,246","11,838,624","90,475","130,848,998","North America"
"Poland","3,540,073","+19,086","83,583","+526","3,038,451","+15,680","418,039","1,825","93,683","2,212","24,433,048","646,584","37,787,922","Europe"
"Ukraine","3,438,381","+10,554","85,975","+561","2,946,032","+25,318","406,374","177","79,295","1,983","15,869,089","365,970","43,361,664","Europe"
"South Africa","2,968,052","+4,373","89,843","+21","2,849,558","+119","28,651","546","49,167","1,488","19,477,054","322,648","60,366,253","Africa"
"Philippines","2,832,538","+229","48,545","+44","2,768,048","+568","15,945","1,023","25,371","435","24,238,501","217,106","111,643,668","Asia"
"Netherlands","2,643,176","+22,154","19,414","+65","2,112,703","+8,140","511,059","604","153,775","1,129","19,205,114","1,117,321","17,188,541","Europe"
"Malaysia","2,632,782","+4,879","30,425","+55","2,537,204","+5,168","65,153","509","79,896","923","37,735,175","1,145,139","32,952,474","Asia"
"Peru","2,236,351","+1,381","201,176","+32","N/A","N/A","N/A","971","66,516","5,984","20,314,089","604,202","33,621,349","South America"
"Czechia","2,150,111","+17,608","33,132","+97","1,860,460","+589","256,519","1,022","200,251","3,086","43,666,605","4,066,888","10,737,105","Europe"
"Thailand","2,115,872","+4,306","20,769","+37","2,019,428","+6,407","75,675","1,369","30,206","296","14,913,135","212,899","70,047,905","Asia"
"Iraq","2,081,172","+724","23,820","+13","2,045,021","+1,355","12,331","103","50,152","574","16,341,046","393,783","41,497,561","Asia"
"Canada","1,792,500","+2,358","29,687","+17","1,737,256","+2,700","25,557","497","46,911","777","48,807,147","1,277,328","38,210,346","North America"
"Romania","1,779,667","+1,622","56,539","+130","1,686,752","+3,548","36,376","1,146","93,392","2,967","16,019,397","840,651","19,055,941","Europe"
